ID Geography,Geography,ID Citizenship,Citizenship,Citizenship Status (2013),Citizenship Status (2014),Citizenship Status (2015),Citizenship Status (2016),Citizenship Status (2017),Citizenship Status (2018),Citizenship Status (2019),Citizenship Status (2020),Citizenship Status (2021),Citizenship Status (2022)
"04000US44","Rhode Island",1,"Non-Citizen",68712,67969,68158,67927,67344,64579,62723,64282,67640,69532
"04000US45","South Carolina",1,"Non-Citizen",147292,144951,141419,139895,141907,141515,147485,148856,147551,148456
"04000US46","South Dakota",1,"Non-Citizen",14375,15304,16479,17337,17888,18953,19843,21724,19890,19367
"04000US47","Tennessee",1,"Non-Citizen",192749,195738,201093,198620,205694,208634,209885,206824,213604,219459
"04000US48","Texas",1,"Non-Citizen",2791229,2842276,2875863,2904541,2955178,2998348,3006911,2935368,2952923,2950260
"04000US49","Utah",1,"Non-Citizen",150978,154987,153260,154406,153811,157442,158120,154835,156404,156701
"04000US50","Vermont",1,"Non-Citizen",10519,10979,11454,12337,12712,13289,13331,12665,11863,11483
"04000US51","Virginia",1,"Non-Citizen",482627,494050,490704,494020,496678,502400,501148,495416,488323,479159
"04000US53","Washington",1,"Non-Citizen",486424,493493,499948,509042,521887,536793,553179,567057,577271,590748
"04000US54","West Virginia",1,"Non-Citizen",14062,14571,14478,14239,14628,14627,14631,14596,13525,12942
"04000US55","Wisconsin",1,"Non-Citizen",153641,153740,153367,155467,155747,156733,157612,153679,155354,154138
"04000US56","Wyoming",1,"Non-Citizen",12044,12273,13062,12683,12807,12581,12076,11739,11855,11849
