ID Geography,Geography,Foreign-Born Citizens (2015),Foreign-Born Citizens (2016),Foreign-Born Citizens (2017),Foreign-Born Citizens (2018),Foreign-Born Citizens (2019),Foreign-Born Citizens (2020),Foreign-Born Citizens (2021),Foreign-Born Citizens (2022),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019),Population (2020),Population (2021),Population (2022)
"50000US3403","Congressional District 3, NJ",60836,60741,61347,62986,63145,66198,68866,116453,735171,736430,736043,736722,737263,735635,737334,740858,753485,777191
"50000US3404","Congressional District 4, NJ",87128,88801,89932,88773,90509,88634,94057,68299,733407,735042,738191,738951,741766,739922,740712,742779,790796,774829
"50000US3405","Congressional District 5, NJ",147689,146774,148288,148233,147884,147981,151710,196967,735803,738250,741254,742080,745615,737642,736353,735376,747027,771690
"50000US3406","Congressional District 6, NJ",211066,210712,214245,210041,208782,212001,222575,222970,736846,740992,743854,743100,745204,736045,733994,733029,762161,772409
"50000US3407","Congressional District 7, NJ",131049,131791,134935,137518,140571,142050,147678,120109,735783,738143,740850,741497,745147,739893,739089,738017,757080,775299
"50000US3408","Congressional District 8, NJ",334261,336858,342093,334790,339218,343379,363270,343637,744775,755025,762276,766386,774492,760952,762459,762224,806843,760708
"50000US3409","Congressional District 9, NJ",270689,274728,280966,280388,288134,294338,307326,287303,738554,745691,749137,751662,758209,751755,752451,753721,785894,765162
"50000US3410","Congressional District 10, NJ",206224,208070,215587,219259,223468,227691,247915,230834,732011,736086,738622,741960,754301,749828,751853,758408,811105,764061
"50000US3411","Congressional District 11, NJ",130786,133010,135709,135920,136594,139604,142105,163917,735532,738702,741282,740727,743033,735773,735094,735124,757864,769976
"50000US3412","Congressional District 12, NJ",203147,205643,210801,207113,211033,209651,222217,230014,737997,744081,748524,751470,757602,748549,748655,748322,780573,769517
"50000US3501","Congressional District 1, NM",75292,74069,71598,72355,71140,70874,71541,55912,691624,694375,693273,692610,691746,695519,695715,699637,693653,707680
"50000US3502","Congressional District 2, NM",81384,82298,84065,83539,82175,79296,78127,83133,691876,696389,699589,698524,696944,700177,700115,700971,711510,703136
"50000US3503","Congressional District 3, NM",47044,44991,45648,45340,43849,43066,43586,54630,686206,689321,691255,691535,696138,696738,696624,696413,704203,701647
"50000US3601","Congressional District 1, NY",89315,89710,91978,90145,91162,89629,94756,106068,720418,722670,723323,722038,721210,717383,716532,715479,738752,778417
"50000US3602","Congressional District 2, NY",124482,126890,127264,126204,125898,125029,127851,138779,721578,723744,723479,720950,721061,715030,711836,710764,730154,772462
"50000US3603","Congressional District 3, NY",157863,159328,163036,164297,164673,164419,168126,208414,720750,720393,723457,724563,731138,727480,727151,727386,742196,776626
"50000US3604","Congressional District 4, NY",158143,160512,161890,163460,164913,165342,172684,182681,715641,720624,721286,722016,724387,722626,723357,722351,747392,773437
"50000US3605","Congressional District 5, NY",324869,328134,331827,327068,329466,329161,349819,339490,747137,760308,765409,774752,784341,772342,771094,768316,813708,800945
"50000US3606","Congressional District 6, NY",376093,376191,381122,375418,372828,369737,383485,405607,717451,721015,727625,730534,742207,732433,729469,729584,760652,755796
"50000US3607","Congressional District 7, NY",274468,274091,272277,258172,254808,246443,253543,247464,739966,740178,745005,748294,750580,734208,730822,721505,752935,748880
"50000US3608","Congressional District 8, NY",247720,250798,257729,257097,253393,251501,264190,272537,724625,735611,744271,753062,772709,771343,772576,773165,818072,778365
"50000US3609","Congressional District 9, NY",299888,299168,296376,290717,284026,277734,288383,283410,728973,734248,740868,742131,746279,733271,726825,720840,757933,761493
"50000US3610","Congressional District 10, NY",232519,231298,235093,230352,228613,225223,233093,206230,718444,729578,731519,731073,740752,730760,731480,732646,763710,738425
"50000US3611","Congressional District 11, NY",215614,216073,220053,221849,223077,224554,235861,244666,719449,727304,731365,729159,733750,730634,730637,729841,761248,759570
"50000US3612","Congressional District 12, NY",194479,193929,194055,191270,191350,191126,194995,175097,708992,716393,723973,725977,732140,719072,721821,721308,741461,711829
"50000US3613","Congressional District 13, NY",278271,281699,283965,282307,275135,267232,274605,284904,741564,747559,759136,768090,782402,774528,767710,759560,780893,813765
"50000US3614","Congressional District 14, NY",339428,332069,333771,322021,316709,309706,325480,275393,712284,721129,728916,722309,721690,705681,694613,686868,717057,727966
"50000US3615","Congressional District 15, NY",260539,267111,273806,270139,269332,257942,259190,250868,721177,733612,739618,747882,758424,744647,744473,735959,755887,764377
"50000US3616","Congressional District 16, NY",218755,221324,223860,225307,226370,222496,231570,227932,729011,733388,737824,738787,745855,741586,744267,745591,774781,773881
"50000US3617","Congressional District 17, NY",171254,172636,173171,169771,169751,171584,174241,142728,725298,730820,735374,738467,742801,738481,739314,740776,761994,775256
"50000US3618","Congressional District 18, NY",85883,84633,85993,85303,85651,91463,92204,87544,717584,719388,720822,721184,723244,721629,722792,724007,743362,778056
"50000US3619","Congressional District 19, NY",45151,45381,45778,46003,45693,45134,44736,53422,716083,712982,710732,707053,705473,700993,698759,697087,701650,774864
"50000US3620","Congressional District 20, NY",58112,60836,63962,65650,68960,69282,71230,69579,719589,722569,723568,725336,727071,725925,725988,726000,743851,779088
"50000US3621","Congressional District 21, NY",24899,24057,23736,23995,22554,23476,23841,27340,719261,719085,718502,715390,712223,706791,703073,700529,708621,777284
"50000US3622","Congressional District 22, NY",36355,36785,36257,36695,36728,38383,40237,58266,714956,713482,711202,708362,704369,699564,696141,692234,697709,772136
"50000US3623","Congressional District 23, NY",27328,27786,28628,28505,28698,28288,27775,21587,716445,715480,713070,709936,706305,699965,695215,691390,694520,776787
"50000US3624","Congressional District 24, NY",40914,40535,41561,42313,43307,41697,42772,21518,716540,716454,715530,713917,712307,707425,704757,702143,716288,777980
"50000US3625","Congressional District 25, NY",61116,62467,62956,63289,64086,62332,63657,61077,719996,721240,722333,722212,721651,717362,716736,716440,730626,774084
"50000US3626","Congressional District 26, NY",54442,54239,56435,58481,58977,60027,62354,65431,716451,716222,715616,714792,715764,711502,709541,707963,738583,772610
"50000US3701","Congressional District 1, NC",46613,52754,54302,55007,56665,56225,57188,30516,728046,727784,729228,745646,750304,753591,755156,760016,741907,748754
"50000US3702","Congressional District 2, NC",67507,55748,57439,58989,60039,63127,66386,115050,751263,762270,773870,791508,806396,822252,840465,865706,892874,738814
"50000US3703","Congressional District 3, NC",32452,31762,31459,30080,31054,30062,29810,39210,743991,749638,753337,749072,754005,754824,756531,760373,752206,746908
"50000US3704","Congressional District 4, NC",103066,121952,127929,129917,135995,133574,134499,83239,743030,760207,774527,806437,825295,840168,857571,866455,867309,743550
"50000US3705","Congressional District 5, NC",49083,46121,47578,47886,47670,48197,47800,44213,740236,743061,746472,745704,749093,752439,756559,761079,756848,747107
"50000US3706","Congressional District 6, NC",45693,53095,52817,53507,54058,55444,58479,67928,747697,749563,751215,754902,757229,762671,768774,777809,789755,745094
"50000US3707","Congressional District 7, NC",48351,47627,47764,48537,49229,46844,45898,32423,742794,752216,762894,768409,777138,787034,795777,807268,772968,754700
"50000US3708","Congressional District 8, NC",45103,46467,48420,49473,51803,54084,55386,51872,735302,737740,742467,760680,772777,779035,788902,798557,805788,748980
"50000US3709","Congressional District 9, NC",80457,55950,56336,57991,59374,60248,62067,49988,750787,769339,786999,763890,772073,779186,783780,788078,764664,747637
"50000US3710","Congressional District 10, NC",36715,35977,36995,36912,37478,37713,38239,38556,733481,737538,740474,743721,749120,753325,760336,765741,769560,749703
"50000US3711","Congressional District 11, NC",33000,33647,33703,33985,35514,34679,35272,36794,735900,737861,740031,743349,746213,752316,758083,765533,766426,746329
"50000US3712","Congressional District 12, NC",109899,126538,132100,134486,140809,147291,148944,103652,749231,760454,771401,811813,830510,847254,865614,885774,895417,742097
"50000US3713","Congressional District 13, NC",60100,60053,61183,62895,63077,65196,66096,65832,749622,762734,772418,755697,762411,771529,777328,783838,791300,760678
"50000US3800","Congressional District (at Large), ND",22829,24365,26716,29630,30794,32389,33955,34194,689781,704925,721640,736162,745475,752201,756717,760394,773344,776874
"50000US3901","Congressional District 1, OH",38736,40117,42226,44890,46104,47684,51160,53315,721708,724254,727194,730363,733390,737765,742004,747788,763591,785183
"50000US3902","Congressional District 2, OH",20566,20363,21453,21750,22040,22488,22167,8928,723706,724395,724744,724850,726067,728702,728713,729324,732156,786866
"50000US3903","Congressional District 3, OH",80467,82160,85377,93759,95762,98328,104929,94946,724900,734710,745041,757872,770797,785158,790144,797029,804631,785445
"50000US3904","Congressional District 4, OH",11706,11981,12896,13397,13858,13642,14000,27644,718572,717325,714052,712613,711332,711251,710991,710636,715108,787372
"50000US3905","Congressional District 5, OH",18152,18732,19379,20389,20442,20260,20435,17056,723657,724014,723565,724865,722212,722734,722911,722437,728981,785703
"50000US3906","Congressional District 6, OH",7279,7794,7142,7302,7459,7370,6833,11750,717868,715394,711496,707254,703764,700099,696108,692579,689093,784426
"50000US3907","Congressional District 7, OH",13326,13736,14116,13771,13248,13750,13065,51875,721469,721392,724257,723913,724257,726547,727518,731042,737294,783302
"50000US3908","Congressional District 8, OH",25150,25679,27154,28005,29116,30687,32326,40000,721860,722987,723955,724240,725385,728116,729572,732249,742413,784012
"50000US3909","Congressional District 9, OH",30668,30925,32445,32510,33811,34451,33670,23051,718756,715074,714244,712630,710563,709760,706921,704685,707993,784857
"50000US3910","Congressional District 10, OH",30436,31234,33267,34315,34829,34670,35320,35810,723247,722301,722051,721070,720851,721945,722027,723673,727632,784983
"50000US3911","Congressional District 11, OH",37299,36190,37769,37613,38167,37479,38402,47993,710894,709140,705697,700217,697927,693817,689571,686269,690420,781356
"50000US3912","Congressional District 12, OH",36318,37878,40223,42593,46375,49290,50469,17624,729175,737223,747035,753567,761758,770907,781470,789894,801233,788205
"50000US3913","Congressional District 13, OH",23882,25323,25772,25478,25446,25391,23503,33991,722210,715744,713291,711936,710834,710422,708540,705582,703031,785253
"50000US3914","Congressional District 14, OH",37361,36312,36176,36373,36352,36416,39016,24277,719933,719971,719406,718097,718257,717865,716938,715868,726849,785932
"50000US3915","Congressional District 15, OH",27395,28512,28975,30202,31653,31193,32789,62804,730666,733979,737572,741447,749429,754510,761678,768439,764503,781788
"50000US4001","Congressional District 1, OK",56475,58658,60924,63124,63712,64504,65724,65493,758636,765752,773811,781427,789968,797151,801857,806758,822185,792397
"50000US4002","Congressional District 2, OK",14736,15513,15945,16142,16514,16978,16841,19208,748973,749835,749607,748897,748004,748286,748847,749583,726329,797693
"50000US4003","Congressional District 3, OK",35156,36434,37314,38312,40062,39786,38875,68202,755153,761781,767882,772392,773867,776845,778159,778830,783317,792662
"50000US4004","Congressional District 4, OK",34703,33990,34343,34993,35520,36342,37512,37127,759834,767647,773971,777882,780488,783867,786723,792809,797930,794112
